"","PlotID","DecompokRate","DecompoSfactor","DecompokSampleSize","DecompoGTPercentMassRemaining","DecompoGTSampleSize","DecompoGTComment","DecompoRPercentMassRemaining","DecompoRSampleSize","DecompoRComment"
"29","15B",0.0200991740289197,0.330134887077305,11,43.5973574919091,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Roots/Roots",71.540089641845,12,"No issue/No issue/No issue/No issue/Open/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"30","15C",0.0150219430403717,0.331522856894646,5,43.7142245505292,5,"No issue/No issue/No issue/No issue/No issue",73.2363950499652,6,"No issue/No issue/No issue/No issue/No issue/No issue"
"31","16B",0.0158663455140242,0.372456546024574,12,47.1608411752691,12,"No issue/No issue/Roots/No issue/No issue/No issue/Roots/Roots/Roots/Roots/Roots/Roots",73.9916355747141,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"32","16C",0.0171976885566884,0.322106302053926,12,42.9213506329405,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",72.9714409795989,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"33","17B",0.0152840429732192,0.35232760359454,12,45.4659842226603,12,"No issue/Roots/No issue/No issue/No issue/No issue/Roots/Roots/No issue/Roots/No issue/Roots",73.9841129982158,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"34","17C",0.0165889772660513,0.305955428159664,10,41.5614470510437,11,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",70.2271451782642,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"35","18B",0.0111990589079943,0.328434736490103,7,43.4542048124666,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/Roots/No issue/Roots/Roots",71.1815448051064,10,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/No issue"
"36","18C",0.0140804156684467,0.302148914268703,9,41.2409385814248,9,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",72.027975215854,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"37","20B",0.0133252861043149,0.253719612385111,11,37.1631913628263,11,"No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/Open/Roots/Roots",72.6719096559322,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/Open/No issue/No issue/Open/No issue"
"38","20C",0.0146222642137342,0.242986396801358,10,36.2594546106744,11,"No issue/Roots/Roots/No issue/Roots/No issue/No issue/No issue/No issue/No issue/No issue",69.2949785621388,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"39","21B",0.0105527757158721,0.223975573145594,12,34.658743258859,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",73.9669631133866,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
"40","21C",0.0123166973871752,0.263128643956131,10,37.9554318211062,10,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue",70.9148466117673,12,"No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue/No issue"
