"","Organic, Estimate","SE","Landscape compo., Estimate","SE","Landscape config., Estimate","SE","Org:Landscape compo., Estimate","SE","Org:Landscape config., Estimate","SE","sigma","N","Marginal R2","Conditional R2"
"MA_Thresh70",0.0134341046578039,0.0619900413360975,-0.00074091099500221,0.00127121759526746,-0.000735387532661254,0.000413263895609097,-0.000336505861794509,0.00160835010035304,0.000422588175329466,0.000488770558702805,0.0761477291290153,38,0.148316228356737,0.255957654890495
"BirdAbundance",4.66476588771427,2.75600743082693,-0.0427963867084061,0.0602088811369432,0.0200394037745503,0.0193562312912153,-0.0789126773769083,0.0711909162273864,-0.0245161819537319,0.022006470600218,3.35753954503623,38,0.159235639610737,0.368065215581011
"ButtAbundance",0.730907137737958,0.749433878207965,0.0308577972097185,0.0186639172104581,0.00145770757219723,0.0057719741902341,0.0105888057319191,0.0192460556621286,-0.00536995904016618,0.00609960351721149,0.902651352582808,38,0.23838947487825,0.580938794902246
"EwormAbundance",-0.6711845914553,0.557128296754219,0.00838195737918044,0.0124188338632437,0.00248791427340673,0.00397359146435979,0.00593621521882145,0.0143748784509428,0.00130878733162488,0.00446392754758569,0.677261413361949,38,0.130067242180327,0.376638281091739
"MicrobeAbundance",3535.85099309022,2488.40278529299,-74.651095600975,71.5399233934975,-9.01716118075067,20.8415870289576,-32.9804277476406,63.6845839071103,3.67343932062468,20.5680111059861,2973.66770098118,38,0.154203811856387,0.672306866716242
"BeeAbundance",0.0998200014691194,0.581516004000374,0.00825507953032721,0.0149180723133649,-0.00321826145584471,0.00456286096396096,-0.0159947079448294,0.0149202251294311,0.00423441142532849,0.00474964686721451,0.699064445518425,38,0.0326440036638443,0.504413425328995
"SyrphidAbundance",0.104404633123104,0.286274415767982,-0.0117148536147178,0.00554940746368454,0.000404091805150461,0.00181085837433039,-0.00126114044475766,0.00746747790004698,-0.000869837227637236,0.00222420035674173,0.355223343812604,38,0.237747749550508,NA
"SpiderAbundance",0.181142575020033,0.48213023702263,-0.00201388576613603,0.0144600249210093,-0.00501557642921449,0.00412777737381416,-0.0121030792606841,0.0123311980185434,0.00947284281628405,0.00400079326290207,0.575121085145869,38,0.188485365004935,0.717355355954154
"CarabAbundance",-0.669236930458228,1.0766092130722,0.00667009358612438,0.0299334506311234,-0.00143451097306508,0.00885451180813391,0.0096249514199836,0.0275698854315406,-0.00150086159224131,0.00886966863071662,1.28856179473676,38,0.0374445557545746,0.594779390330188
"CollemboAbundance",7.79311157549084,7.19801816466245,-0.0471078759673726,0.136916170200481,0.0341714728640706,0.0471545088945408,0.0380954884378837,0.181156956644748,-0.0701446374011403,0.0563737265570687,8.59479603116875,37,0.0692050699510088,0.100751753356695
"SpiderFoliageAbundance",-12.3479690702574,11.3323020000599,-0.142270771299768,0.303419425102965,-0.157184144454273,0.091224801096194,0.240642368680503,0.290434551304398,0.145833367145973,0.0929983926011624,13.5895059501399,38,0.0753394050352518,0.572997795840869
"ColeopteraFoliageAbundance",-0.416562290259467,3.38668016596831,-0.0066697339366045,0.0680202482334327,-0.0434760325112206,0.0221613489035619,-0.0118033646486922,0.0880260855601751,0.033863858680477,0.026570740914523,4.17414427500079,38,0.132764944232339,0.203747246275254
"HemipteraFoliageAbundance",0.466787462293304,0.475758269356422,0.00863236149344293,0.0118361129534459,-0.00336823697705818,0.00366177167558957,-0.00717573939589078,0.0122182613746864,0.00163961941255696,0.00387168288205153,0.573064317789905,38,0.105469233847468,0.506585381732062
"HeteropteraFoliageAbundance",0.281952202206651,0.58632141165146,0.00500671873942692,0.012358713416513,-0.000215868962586808,0.00400133367414067,0.001420185702439,0.0151805592010617,0.000186618441593846,0.00465022371738144,0.717418854417438,38,0.0581806181197179,0.22934205643407
"PlantCover",-5.00235960499623,15.4524258971984,0.50393402345964,0.351543156024336,-0.00189415157156656,0.11188707496608,-0.107686750250514,0.398280867256506,0.0315911885541903,0.124214777970996,18.7466928378504,38,0.095082429075303,0.382199610914024
"EMF_Production",-0.0132768069286969,0.0582617029031386,0.0019130942693657,0.00123388398653966,9.69419295500567e-07,0.000399159562876931,-0.0019378206016102,0.00150796627703857,-8.13873003569001e-05,0.00046252161237186,0.0712444314244108,38,0.188835405046641,0.343668886825119
"EMF_Soil",0.0073972017292046,0.0705295247549677,-0.000733140332195187,0.00168654923120363,-0.000265816680816208,0.000528871807903992,-0.000556297269072155,0.00181389494509575,0.000417494771307898,0.000571046595506048,0.0852001061608214,38,0.0468503987096726,0.422025076015909
"EMF_Regulation",0.0123027198368343,0.0522256953457437,-0.00226942078713815,0.00123915729063457,0.000204146698650624,0.000389546139007857,0.00336232812780069,0.0013435706985273,-0.000370851847263861,0.000422399549651136,0.0631279217051344,38,0.209113033124317,0.511421997280547
"EMF_MeanScMax",0.00234887511804176,0.0347070306295985,-0.000253363885644914,0.000787062035162258,-8.47484174893982e-05,0.000250717876437562,-1.47057987517095e-06,0.000894703308704182,4.81075813222294e-05,0.000278854603044401,0.0421189682445613,38,0.011478968442172,0.31997369089819
"EMF_MeanZscore",0.00777711679304129,0.194766947502288,-0.0016127310159973,0.0039917106791292,-0.000517164372564115,0.00129777159268818,0.000193666263831964,0.00505352784927269,0.000148441297151601,0.00153546735299296,0.239270476367287,38,0.0163741832250369,0.139490692118913
"EMF_Thresh70",0.102737167303093,0.173286301761136,-0.00362861846177269,0.00376141250385928,-0.00139652342311027,0.0012109345870186,-5.59926654875398e-05,0.00447792556167675,7.85969591667649e-05,0.00138208738806817,0.211262841778529,38,0.14228104185756,0.34540964343031
"YieldRealised_hlperha",-3.34844475995523,9.48341123168343,0.236200896489866,0.20607981648088,0.0142515534937081,0.0663286668706764,-0.1563335183872,0.245046020107276,-0.0123171381050377,0.0756524699767151,11.560261796666,38,0.108527244073997,0.32144649464178
"Ntester",1.14337302862683,2.0438758378907,0.0846015948615056,0.0421249388773917,-0.00846050785565756,0.0136855909634013,-0.130381969684861,0.0530075018231541,-0.00418053332102067,0.0161334983039002,2.50876735083852,38,0.291981343900784,0.388847731682119
"SoilC",-0.228953925088845,0.277494854250676,-0.00646574475502945,0.00776518337357163,-0.000982617928063178,0.00229038869274592,0.00651539073580742,0.00710522130637564,0.00137389033795515,0.00228761811698579,0.332022376183251,38,0.0212195073859603,0.594456554477519
"SoilN",-0.00654776130000823,0.0280251649694101,-0.000121252007569258,0.000626364368662456,-0.0001985265773829,0.00020028194520394,-0.000263127358907785,0.000722994951762625,0.000285260374260188,0.000224646422277395,0.0340589573635345,38,0.0607053685228771,0.331162647122685
"DecompokRate",-0.00169821811017464,0.00199502269413926,1.5652946961674e-05,4.69704728363038e-05,-2.32297626852709e-05,1.48015177040725e-05,-2.41070976500373e-05,5.13408654011815e-05,1.1686263799694e-05,1.61182985823412e-05,0.00241301106201719,38,0.143669730083734,0.461140597340281
"DecompoSfactor",0.026768439433204,0.0155032089441481,0.000161491424858505,0.000562018627047917,-0.000227578200109722,0.000144624282112746,-0.000194803214048205,0.000396012246631254,-8.13823062513368e-05,0.000130689934358703,0.0183764632841183,38,0.147911285239614,0.821039497809003
"SoilPhosphatase",0.394743878411982,0.806720881705625,0.0159215711342108,0.0190325332701325,0.00517532089511016,0.00599378427841584,-0.00211521305335752,0.020758747042294,-0.00414372939919435,0.00651958855671816,0.975575680277564,38,0.0505677940217408,0.405482942111514
"SoilGlucosidase",38.0895080967009,65.8877096910137,0.179218768462365,1.46508757159575,-0.0107192214362004,0.469060291178452,-1.24270456708593,1.70024411587473,0.6476514571668,0.527703200278567,80.1153582791475,38,0.205514667809698,0.427375453567934
"SoilUrease",14.897786089202,20.5073046102622,-0.353218240992527,0.495607887921658,0.0106984147813772,0.154874517528534,-0.811516566910936,0.527197700640609,0.12097859556433,0.166273067733489,24.7528599909823,38,0.194408819786054,0.523700987953308
"PredRateEggs",5.4153244785464,4.10800294244591,-0.236933508788488,0.147330561576316,-0.0283286667954796,0.0381550882429847,0.0512661091730513,0.104935851975517,0.0354954922003876,0.0346009853642542,4.87085080871379,38,0.22556034074504,0.832342787764087
"PredRatePupae",0.368965989465064,0.614520384040807,-0.00903501807127928,0.0129256649345514,0.00470966406094806,0.00418639905850002,0.0146868235409683,0.0159130636121338,-0.00633809651018479,0.00487177969503497,0.752135535828573,38,0.0730966080243513,0.237714693530142
"PredRatePlasticine",-1.77097620247568,4.8067490730031,-0.170743264903425,0.0950088539713641,0.0065719953872982,0.0309876704916744,0.332412733221733,0.125127062975422,-0.0162551817346638,0.0375549469679766,5.94139981951051,38,0.250006991854845,0.284415594096822
"PathogenDamage",0.563219976712321,0.638296759545295,-0.0103183726400002,0.0170315225559569,-0.00156753892116576,0.00512796717105737,0.009598872111764,0.0163601872038583,0.00257951535539046,0.00523624797528122,0.765577685277522,38,0.174920169952496,0.615771653436153
"PestDamage",-0.530755071209578,2.95915615181294,-0.0900623116011192,0.0749413453732458,0.0022332822707841,0.023034008548633,-0.0378586972607915,0.0759533056513215,0.000503466787053186,0.0241331311923696,3.56020299776227,38,0.138133816594784,0.544517733256435
